type,name,latitude,longitude,region,city,iata_code
large_airport,Los Angeles International Airport,33.942501,-118.407997,CA,Los Angeles,LAX
large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,IL,Chicago,ORD
large_airport,John F Kennedy International Airport,40.639801,-73.7789,NY,New York,JFK
large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,GA,Atlanta,ATL
large_airport,San Francisco International Airport,37.61899948120117,-122.375,CA,San Francisco,SFO
large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,TX,Dallas-Fort Worth,DFW
large_airport,Newark Liberty International Airport,40.692501,-74.168701,NJ,Newark,EWR
large_airport,Harry Reid International Airport,36.080101,-115.152,NV,Las Vegas,LAS
large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,FL,Orlando,MCO
large_airport,Denver International Airport,39.861698150635,-104.672996521,CO,Denver,DEN
large_airport,La Guardia Airport,40.777199,-73.872597,NY,New York,LGA
large_airport,Miami International Airport,25.79319953918457,-80.29060363769531,FL,Miami,MIA
large_airport,Washington Dulles International Airport,38.9445,-77.455803,VA,"Washington, DC",IAD
large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,AZ,Phoenix,PHX
large_airport,Logan International Airport,42.3643,-71.005203,MA,Boston,BOS
large_airport,Seattle–Tacoma International Airport,47.449162,-122.311134,WA,Seattle,SEA
large_airport,Philadelphia International Airport,39.87189865112305,-75.24109649658203,PA,Philadelphia,PHL
large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,NC,Charlotte,CLT
large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,TX,Houston,IAH
large_airport,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,MI,Detroit,DTW
large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,DC,Washington,DCA
large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,MN,Minneapolis,MSP
large_airport,Salt Lake City International Airport,40.785749,-111.979746,UT,Salt Lake City,SLC
large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,FL,Fort Lauderdale,FLL
large_airport,San Diego International Airport,32.7336006165,-117.190002441,CA,San Diego,SAN
large_airport,Chicago Midway International Airport,41.785999,-87.752403,IL,Chicago,MDW
large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,MD,Baltimore,BWI
